RowKey,Order ID,Order Date,Ship Date,Ship Mode,Profit,Quantity,Sales
59,CA-2011-103849,2013-05-11 00:00:00,2013-05-16 00:00:00,Standard Class,-70.73,7.00,225.02
60,CA-2011-103940,2013-09-17 00:00:00,2013-09-21 00:00:00,Standard Class,77.18,12.00,260.79
61,CA-2011-103989,2013-03-19 00:00:00,2013-03-21 00:00:00,First Class,68.64,23.00,590.76
62,CA-2011-104178,2013-08-25 00:00:00,2013-08-29 00:00:00,Standard Class,58.70,14.00,176.14
63,CA-2011-104269,2013-03-01 00:00:00,2013-03-06 00:00:00,Second Class,51.48,2.00,457.57
64,CA-2011-104283,2013-06-27 00:00:00,2013-07-01 00:00:00,Standard Class,76.11,10.00,616.14
65,CA-2011-104402,2013-06-17 00:00:00,2013-06-23 00:00:00,Standard Class,31.01,3.00,65.97
66,CA-2011-104472,2013-06-02 00:00:00,2013-06-07 00:00:00,Standard Class,41.43,9.00,133.13
67,CA-2011-104563,2013-03-07 00:00:00,2013-03-12 00:00:00,Standard Class,85.51,18.00,1143.82
68,CA-2011-104738,2013-12-30 00:00:00,2014-01-01 00:00:00,Second Class,63.25,13.00,609.61
69,CA-2011-104773,2013-12-08 00:00:00,2013-12-13 00:00:00,Standard Class,6.04,2.00,60.42
70,CA-2011-104780,2013-05-21 00:00:00,2013-05-25 00:00:00,Standard Class,10.51,8.00,31.84
71,CA-2011-104808,2013-02-04 00:00:00,2013-02-08 00:00:00,Second Class,6.04,2.00,17.25
72,CA-2011-104829,2013-11-18 00:00:00,2013-11-21 00:00:00,Second Class,9.89,7.00,21.98
73,CA-2011-104976,2013-12-09 00:00:00,2013-12-16 00:00:00,Standard Class,16.99,6.00,34.68
74,CA-2011-105165,2013-09-07 00:00:00,2013-09-10 00:00:00,First Class,-12.37,13.00,469.04
75,CA-2011-105172,2013-04-04 00:00:00,2013-04-09 00:00:00,Standard Class,9.07,6.00,18.90
76,CA-2011-105249,2013-11-28 00:00:00,2013-11-28 00:00:00,Same Day,15.18,10.00,460.09
77,CA-2011-105270,2013-11-11 00:00:00,2013-11-18 00:00:00,Standard Class,19.19,4.00,143.13
78,CA-2011-105340,2013-11-22 00:00:00,2013-11-25 00:00:00,First Class,-11.08,1.00,6.93
79,CA-2011-105417,2013-01-07 00:00:00,2013-01-12 00:00:00,Standard Class,-71.96,10.00,87.16
80,CA-2011-105648,2013-03-03 00:00:00,2013-03-07 00:00:00,Standard Class,-23.49,3.00,626.35
81,CA-2011-105872,2013-05-30 00:00:00,2013-06-06 00:00:00,Standard Class,26.39,4.00,70.37
82,CA-2011-105893,2013-11-11 00:00:00,2013-11-18 00:00:00,Standard Class,13.32,6.00,665.88
83,CA-2011-105984,2013-11-24 00:00:00,2013-11-24 00:00:00,Same Day,-244.91,8.00,1661.03
84,CA-2011-106054,2013-01-06 00:00:00,2013-01-07 00:00:00,First Class,5.24,3.00,12.78
85,CA-2011-106229,2013-06-07 00:00:00,2013-06-11 00:00:00,Second Class,-209.77,3.00,268.94
86,CA-2011-106264,2013-12-26 00:00:00,2013-12-30 00:00:00,Standard Class,1.23,5.00,15.39
87,CA-2011-106376,2013-12-05 00:00:00,2013-12-10 00:00:00,Standard Class,174.29,12.00,1280.99
88,CA-2011-106439,2013-10-31 00:00:00,2013-11-04 00:00:00,Standard Class,122.54,45.00,1007.94
89,CA-2011-106572,2013-09-05 00:00:00,2013-09-10 00:00:00,Standard Class,19.82,2.00,264.32
90,CA-2011-106719,2013-08-24 00:00:00,2013-08-24 00:00:00,Same Day,2.69,2.00,8.29
91,CA-2011-106726,2013-12-06 00:00:00,2013-12-08 00:00:00,First Class,327.95,7.00,1261.33
92,CA-2011-106803,2013-12-29 00:00:00,2014-01-02 00:00:00,Standard Class,54.80,6.00,144.36
93,CA-2011-106810,2013-05-14 00:00:00,2013-05-20 00:00:00,Standard Class,23.32,2.00,310.88
94,CA-2011-106971,2013-09-02 00:00:00,2013-09-08 00:00:00,Standard Class,95.19,7.00,475.94
95,CA-2011-107139,2013-07-05 00:00:00,2013-07-11 00:00:00,Standard Class,67.86,6.00,180.96
96,CA-2011-107153,2013-09-28 00:00:00,2013-10-03 00:00:00,Standard Class,12.49,3.00,46.26
97,CA-2011-107181,2013-02-04 00:00:00,2013-02-08 00:00:00,Standard Class,45.11,7.00,117.14
98,CA-2011-107398,2013-08-25 00:00:00,2013-08-30 00:00:00,Standard Class,-23.54,15.00,30.25
99,CA-2011-107454,2013-11-02 00:00:00,2013-11-06 00:00:00,Standard Class,40.16,13.00,124.20
100,CA-2011-107524,2013-03-02 00:00:00,2013-03-08 00:00:00,Standard Class,22.81,7.00,47.76
101,CA-2011-107573,2013-12-12 00:00:00,2013-12-17 00:00:00,Standard Class,7.63,3.00,23.47
102,CA-2011-107594,2013-07-02 00:00:00,2013-07-06 00:00:00,Standard Class,22.15,3.00,79.56
103,CA-2011-107706,2013-02-14 00:00:00,2013-02-19 00:00:00,Second Class,6.07,3.00,16.18
104,CA-2011-107755,2013-02-07 00:00:00,2013-02-12 00:00:00,Standard Class,49.60,7.00,115.36
105,CA-2011-107769,2013-10-28 00:00:00,2013-11-01 00:00:00,Standard Class,74.81,2.00,257.98
106,CA-2011-107811,2013-04-29 00:00:00,2013-05-03 00:00:00,Standard Class,68.95,7.00,661.50
107,CA-2011-107818,2013-09-08 00:00:00,2013-09-14 00:00:00,Standard Class,235.22,21.00,1771.52
108,CA-2011-107916,2013-08-24 00:00:00,2013-08-26 00:00:00,First Class,10.81,5.00,25.95
109,CA-2011-108147,2013-06-08 00:00:00,2013-06-13 00:00:00,Standard Class,109.52,8.00,1745.36
110,CA-2011-108182,2013-02-06 00:00:00,2013-02-10 00:00:00,Second Class,-14.77,2.00,8.95
111,CA-2011-108189,2013-10-02 00:00:00,2013-10-05 00:00:00,First Class,133.76,18.00,598.14
112,CA-2011-108273,2013-12-16 00:00:00,2013-12-21 00:00:00,Standard Class,-62.25,9.00,92.86
113,CA-2011-108609,2013-10-31 00:00:00,2013-11-02 00:00:00,Second Class,-734.53,8.00,1421.66
114,CA-2011-108707,2013-10-24 00:00:00,2013-10-29 00:00:00,Standard Class,3.63,2.00,10.37
115,CA-2011-108861,2013-05-28 00:00:00,2013-06-01 00:00:00,Standard Class,51.36,4.00,136.96
116,CA-2011-108903,2013-10-03 00:00:00,2013-10-03 00:00:00,Same Day,5.52,10.00,212.95
117,CA-2011-109043,2013-08-15 00:00:00,2013-08-17 00:00:00,First Class,46.82,10.00,243.60
118,CA-2011-109127,2013-12-21 00:00:00,2013-12-25 00:00:00,Standard Class,7.95,6.00,17.28
119,CA-2011-109134,2013-11-05 00:00:00,2013-11-10 00:00:00,Standard Class,8.82,6.00,20.04
120,CA-2011-109218,2013-06-30 00:00:00,2013-07-03 00:00:00,Second Class,10.37,5.00,32.40
121,CA-2011-109232,2013-01-13 00:00:00,2013-01-16 00:00:00,Second Class,87.35,6.00,545.94
122,CA-2011-109302,2013-08-12 00:00:00,2013-08-16 00:00:00,Standard Class,98.11,7.00,196.21
123,CA-2011-109491,2013-02-20 00:00:00,2013-02-26 00:00:00,Standard Class,29.34,7.00,82.63
124,CA-2011-109680,2013-10-06 00:00:00,2013-10-09 00:00:00,First Class,54.09,2.00,386.34
125,CA-2011-109855,2013-09-01 00:00:00,2013-09-05 00:00:00,Standard Class,65.43,5.00,380.74
126,CA-2011-109890,2013-07-21 00:00:00,2013-07-27 00:00:00,Standard Class,10.07,2.00,35.98
127,CA-2011-109897,2013-08-12 00:00:00,2013-08-16 00:00:00,Standard Class,82.01,11.00,891.78
128,CA-2011-109904,2013-07-14 00:00:00,2013-07-17 00:00:00,Second Class,4.49,3.00,17.94
129,CA-2011-109918,2013-09-07 00:00:00,2013-09-12 00:00:00,Second Class,48.52,11.00,131.84
130,CA-2011-109932,2013-12-09 00:00:00,2013-12-11 00:00:00,First Class,24.49,5.00,247.78
131,CA-2011-110030,2013-12-06 00:00:00,2013-12-08 00:00:00,Second Class,-14.39,3.00,23.98
132,CA-2011-110065,2013-08-05 00:00:00,2013-08-11 00:00:00,Standard Class,43.74,8.00,151.95
133,CA-2011-110072,2013-10-22 00:00:00,2013-10-28 00:00:00,Standard Class,12.91,4.00,93.89
134,CA-2011-110100,2013-04-25 00:00:00,2013-04-29 00:00:00,Standard Class,37.80,3.00,302.38
135,CA-2011-110184,2013-07-12 00:00:00,2013-07-16 00:00:00,Standard Class,73.75,17.00,505.69
136,CA-2011-110219,2013-05-05 00:00:00,2013-05-08 00:00:00,First Class,-9.13,3.00,127.87
137,CA-2011-110352,2013-11-23 00:00:00,2013-11-29 00:00:00,Standard Class,8.88,2.00,23.68
138,CA-2011-110408,2013-10-18 00:00:00,2013-10-20 00:00:00,Second Class,444.69,14.00,2216.80
139,CA-2011-110422,2013-01-21 00:00:00,2013-01-23 00:00:00,Second Class,4.10,3.00,25.25
140,CA-2011-110527,2013-08-09 00:00:00,2013-08-16 00:00:00,Standard Class,9.60,8.00,20.88
141,CA-2011-110555,2013-04-11 00:00:00,2013-04-18 00:00:00,Standard Class,124.95,15.00,410.10
142,CA-2011-110611,2013-10-06 00:00:00,2013-10-13 00:00:00,Standard Class,-13.64,5.00,83.92
143,CA-2011-110639,2013-08-23 00:00:00,2013-08-23 00:00:00,Same Day,34.94,8.00,71.84
144,CA-2011-110786,2013-12-29 00:00:00,2014-01-02 00:00:00,Standard Class,479.95,36.00,1365.63
145,CA-2011-110849,2013-04-18 00:00:00,2013-04-23 00:00:00,Standard Class,108.14,15.00,323.46
146,CA-2011-111003,2013-06-01 00:00:00,2013-06-06 00:00:00,Standard Class,104.79,9.00,334.68
147,CA-2011-111059,2013-02-03 00:00:00,2013-02-06 00:00:00,Second Class,31.56,5.00,97.11
148,CA-2011-111150,2013-12-31 00:00:00,2014-01-04 00:00:00,Standard Class,27.74,14.00,77.21
149,CA-2011-111157,2013-03-02 00:00:00,2013-03-06 00:00:00,Standard Class,33.20,4.00,154.62
150,CA-2011-111192,2013-07-30 00:00:00,2013-08-05 00:00:00,Standard Class,259.89,8.00,1367.84
151,CA-2011-111360,2013-11-24 00:00:00,2013-11-30 00:00:00,Standard Class,-4.59,3.00,5.74
152,CA-2011-111451,2013-12-26 00:00:00,2013-12-28 00:00:00,First Class,20.87,22.00,855.27
153,CA-2011-111500,2013-08-17 00:00:00,2013-08-21 00:00:00,Standard Class,187.74,20.00,484.79
154,CA-2011-111773,2013-06-29 00:00:00,2013-07-03 00:00:00,Standard Class,4.87,3.00,13.92
155,CA-2011-111857,2013-04-23 00:00:00,2013-04-26 00:00:00,Second Class,22.99,1.00,48.91
156,CA-2011-111871,2013-03-18 00:00:00,2013-03-21 00:00:00,Second Class,70.49,10.00,1198.33
157,CA-2011-111899,2013-05-04 00:00:00,2013-05-05 00:00:00,First Class,4.68,8.00,43.31
158,CA-2011-111934,2013-05-05 00:00:00,2013-05-07 00:00:00,First Class,22.00,3.00,47.32
159,CA-2011-111962,2013-09-29 00:00:00,2013-10-04 00:00:00,Standard Class,156.61,7.00,817.80
160,CA-2011-112158,2013-12-02 00:00:00,2013-12-04 00:00:00,First Class,-41.94,17.00,1050.60
161,CA-2011-112291,2013-04-03 00:00:00,2013-04-08 00:00:00,Standard Class,85.60,7.00,233.45
162,CA-2011-112326,2013-01-04 00:00:00,2013-01-08 00:00:00,Standard Class,-65.99,8.00,288.06
163,CA-2011-112403,2013-03-31 00:00:00,2013-03-31 00:00:00,Same Day,-0.60,1.00,0.85
164,CA-2011-112718,2013-12-16 00:00:00,2013-12-21 00:00:00,Standard Class,-0.86,1.00,1.17
165,CA-2011-112837,2013-09-11 00:00:00,2013-09-16 00:00:00,Standard Class,21.75,3.00,127.95
166,CA-2011-112851,2013-09-17 00:00:00,2013-09-21 00:00:00,Standard Class,85.98,3.00,182.94
167,CA-2011-113047,2013-10-24 00:00:00,2013-10-24 00:00:00,Same Day,3.79,3.00,11.85
168,CA-2011-113166,2013-12-24 00:00:00,2013-12-26 00:00:00,First Class,3.47,2.00,9.57
169,CA-2011-113257,2013-12-16 00:00:00,2013-12-18 00:00:00,Second Class,93.40,11.00,328.59
170,CA-2011-113271,2013-07-09 00:00:00,2013-07-14 00:00:00,Standard Class,29.47,14.00,172.10
171,CA-2011-113320,2013-12-12 00:00:00,2013-12-15 00:00:00,Second Class,9.58,9.00,30.72
172,CA-2011-113362,2013-09-14 00:00:00,2013-09-19 00:00:00,Standard Class,14.08,8.00,460.22
173,CA-2011-113383,2013-09-10 00:00:00,2013-09-13 00:00:00,First Class,98.59,9.00,336.82
174,CA-2011-113579,2013-12-13 00:00:00,2013-12-15 00:00:00,Second Class,41.51,6.00,90.24
175,CA-2011-113768,2013-05-13 00:00:00,2013-05-19 00:00:00,Standard Class,24.80,8.00,287.46
176,CA-2011-113859,2013-09-13 00:00:00,2013-09-17 00:00:00,Standard Class,-9.72,6.00,340.12
177,CA-2011-113880,2013-03-01 00:00:00,2013-03-05 00:00:00,Standard Class,-166.44,9.00,651.59
178,CA-2011-113887,2013-04-05 00:00:00,2013-04-07 00:00:00,First Class,26.63,1.00,55.48
179,CA-2011-113929,2013-06-16 00:00:00,2013-06-21 00:00:00,Standard Class,44.30,12.00,115.95
180,CA-2011-113964,2013-09-23 00:00:00,2013-09-30 00:00:00,Standard Class,6.92,4.00,18.46
181,CA-2011-114125,2013-07-09 00:00:00,2013-07-13 00:00:00,Standard Class,19.62,11.00,68.70
182,CA-2011-114181,2013-05-10 00:00:00,2013-05-14 00:00:00,Second Class,-211.68,12.00,372.29
183,CA-2011-114195,2013-11-01 00:00:00,2013-11-03 00:00:00,First Class,-4.24,7.00,94.26
184,CA-2011-114251,2013-11-05 00:00:00,2013-11-10 00:00:00,Standard Class,-127.15,17.00,1476.83
185,CA-2011-114314,2013-10-11 00:00:00,2013-10-15 00:00:00,Standard Class,7.36,5.00,16.23
186,CA-2011-114321,2013-08-20 00:00:00,2013-08-25 00:00:00,Standard Class,575.91,16.00,1417.35
187,CA-2011-114335,2013-09-28 00:00:00,2013-10-03 00:00:00,Standard Class,16.85,4.00,337.09
188,CA-2011-114433,2013-05-13 00:00:00,2013-05-17 00:00:00,Standard Class,52.49,3.00,149.97
189,CA-2011-114510,2013-03-14 00:00:00,2013-03-19 00:00:00,Standard Class,46.96,21.00,280.28
190,CA-2011-114517,2013-12-23 00:00:00,2013-12-27 00:00:00,Standard Class,-3.72,5.00,109.84
191,CA-2011-114643,2013-06-13 00:00:00,2013-06-17 00:00:00,Standard Class,4.79,3.00,14.52
192,CA-2011-114790,2013-03-11 00:00:00,2013-03-13 00:00:00,Second Class,223.98,11.00,782.63
193,CA-2011-115049,2013-09-26 00:00:00,2013-10-01 00:00:00,Standard Class,38.46,11.00,153.82
194,CA-2011-115056,2013-05-02 00:00:00,2013-05-02 00:00:00,Same Day,1.96,3.00,26.14
195,CA-2011-115084,2013-10-18 00:00:00,2013-10-22 00:00:00,Standard Class,145.28,6.00,605.34
196,CA-2011-115133,2013-09-26 00:00:00,2013-09-30 00:00:00,Standard Class,12.83,12.00,52.75
197,CA-2011-115161,2013-01-31 00:00:00,2013-02-02 00:00:00,First Class,3.42,2.00,290.67
198,CA-2011-115259,2013-08-25 00:00:00,2013-08-27 00:00:00,Second Class,67.71,25.00,199.26
199,CA-2011-115336,2013-11-18 00:00:00,2013-11-25 00:00:00,Standard Class,-23.89,5.00,14.48
200,CA-2011-115357,2013-08-06 00:00:00,2013-08-11 00:00:00,Second Class,22.65,3.00,62.91
201,CA-2011-115791,2013-01-16 00:00:00,2013-01-18 00:00:00,Second Class,-5.93,14.00,299.96
202,CA-2011-115812,2013-06-09 00:00:00,2013-06-14 00:00:00,Standard Class,300.77,38.00,3714.30
203,CA-2011-115889,2013-11-02 00:00:00,2013-11-06 00:00:00,Standard Class,110.47,4.00,409.30
204,CA-2011-115973,2013-11-24 00:00:00,2013-11-26 00:00:00,First Class,0.43,1.00,2.62
205,CA-2011-115980,2013-07-15 00:00:00,2013-07-19 00:00:00,Standard Class,3.99,6.00,9.51
206,CA-2011-116190,2013-07-26 00:00:00,2013-08-01 00:00:00,Standard Class,104.14,18.00,256.48
207,CA-2011-116239,2013-03-04 00:00:00,2013-03-04 00:00:00,Same Day,17.75,5.00,354.90
208,CA-2011-116246,2013-09-12 00:00:00,2013-09-17 00:00:00,Second Class,420.59,6.00,3785.29
209,CA-2011-116407,2013-11-15 00:00:00,2013-11-21 00:00:00,Standard Class,37.40,9.00,362.18
210,CA-2011-116568,2013-12-14 00:00:00,2013-12-20 00:00:00,Standard Class,13.97,4.00,186.30
211,CA-2011-116666,2013-05-08 00:00:00,2013-05-10 00:00:00,First Class,240.00,5.00,1799.97
212,CA-2011-116673,2013-12-15 00:00:00,2013-12-19 00:00:00,Second Class,1.97,2.00,6.16
213,CA-2011-116757,2013-06-30 00:00:00,2013-07-04 00:00:00,Standard Class,16.26,11.00,47.23
214,CA-2011-116785,2013-04-26 00:00:00,2013-04-30 00:00:00,Standard Class,12.00,7.00,34.00
215,CA-2011-116834,2013-10-11 00:00:00,2013-10-16 00:00:00,Standard Class,77.69,16.00,408.47
216,CA-2011-116904,2013-09-23 00:00:00,2013-09-28 00:00:00,Standard Class,4668.69,17.00,9900.19
217,CA-2011-116932,2013-07-21 00:00:00,2013-07-25 00:00:00,Standard Class,103.17,8.00,1173.62
218,CA-2011-117016,2013-03-04 00:00:00,2013-03-09 00:00:00,Standard Class,2.33,3.00,15.55
219,CA-2011-117317,2013-10-19 00:00:00,2013-10-19 00:00:00,Same Day,6.59,3.00,13.44
220,CA-2011-117345,2013-08-01 00:00:00,2013-08-05 00:00:00,Standard Class,57.64,10.00,202.90
221,CA-2011-117429,2013-10-07 00:00:00,2013-10-13 00:00:00,Standard Class,21.11,5.00,129.92
222,CA-2011-117464,2013-07-22 00:00:00,2013-07-24 00:00:00,Second Class,162.75,20.00,1136.09
223,CA-2011-117478,2013-09-21 00:00:00,2013-09-24 00:00:00,First Class,-5.04,3.00,6.57
224,CA-2011-117639,2013-05-21 00:00:00,2013-05-25 00:00:00,Standard Class,1449.52,10.00,3333.90
225,CA-2011-117709,2013-05-04 00:00:00,2013-05-08 00:00:00,Standard Class,21.06,4.00,46.80
226,CA-2011-117765,2013-09-07 00:00:00,2013-09-13 00:00:00,Standard Class,178.27,11.00,643.78
227,CA-2011-118192,2013-01-13 00:00:00,2013-01-18 00:00:00,Standard Class,10.57,9.00,40.85
228,CA-2011-118276,2013-12-29 00:00:00,2014-01-02 00:00:00,Standard Class,-4.80,3.00,8.74
229,CA-2011-118304,2013-04-29 00:00:00,2013-05-04 00:00:00,Standard Class,5.19,2.00,19.98
230,CA-2011-118339,2013-03-17 00:00:00,2013-03-24 00:00:00,Standard Class,108.19,31.00,249.92
231,CA-2011-118962,2013-08-05 00:00:00,2013-08-09 00:00:00,Standard Class,84.36,12.00,472.04
232,CA-2011-118976,2013-04-28 00:00:00,2013-05-03 00:00:00,Standard Class,141.77,14.00,526.96
233,CA-2011-119032,2013-11-27 00:00:00,2013-12-03 00:00:00,Standard Class,1.32,2.00,3.76
234,CA-2011-119144,2013-11-16 00:00:00,2013-11-18 00:00:00,First Class,17.55,10.00,730.85
235,CA-2011-119151,2013-11-25 00:00:00,2013-11-29 00:00:00,Second Class,17.95,7.00,1393.87
236,CA-2011-119172,2013-05-11 00:00:00,2013-05-15 00:00:00,Standard Class,-166.88,12.00,122.05
237,CA-2011-119375,2013-11-17 00:00:00,2013-11-22 00:00:00,Standard Class,833.76,15.00,3116.49
238,CA-2011-119466,2013-12-15 00:00:00,2013-12-21 00:00:00,Standard Class,-7.48,2.00,8.54
239,CA-2011-119529,2013-11-03 00:00:00,2013-11-05 00:00:00,Second Class,2.82,2.00,5.76
240,CA-2011-119977,2013-10-08 00:00:00,2013-10-13 00:00:00,Second Class,55.76,4.00,123.92
241,CA-2011-120096,2013-07-04 00:00:00,2013-07-07 00:00:00,First Class,65.38,6.00,209.97
242,CA-2011-120243,2013-12-27 00:00:00,2013-12-30 00:00:00,Second Class,5.43,4.00,11.56
243,CA-2011-120278,2013-11-07 00:00:00,2013-11-12 00:00:00,Standard Class,90.43,14.00,317.48
244,CA-2011-120411,2013-09-20 00:00:00,2013-09-23 00:00:00,First Class,-67.02,7.00,504.55
245,CA-2011-120432,2013-08-24 00:00:00,2013-08-26 00:00:00,Second Class,6.63,3.00,25.50
246,CA-2011-120474,2013-12-01 00:00:00,2013-12-03 00:00:00,First Class,686.47,12.00,2854.48
247,CA-2011-120544,2013-11-23 00:00:00,2013-11-27 00:00:00,Standard Class,-88.03,12.00,46.09
248,CA-2011-120670,2013-11-02 00:00:00,2013-11-06 00:00:00,Standard Class,239.98,10.00,799.92
249,CA-2011-120768,2013-12-19 00:00:00,2013-12-21 00:00:00,Second Class,240.60,21.00,1979.89
250,CA-2011-120775,2013-10-03 00:00:00,2013-10-07 00:00:00,Standard Class,-23.28,15.00,57.91
251,CA-2011-120838,2013-03-23 00:00:00,2013-03-26 00:00:00,Second Class,123.70,8.00,935.15
252,CA-2011-120852,2013-12-20 00:00:00,2013-12-25 00:00:00,Standard Class,-57.73,7.00,84.87
253,CA-2011-120887,2013-09-27 00:00:00,2013-10-03 00:00:00,Standard Class,37.64,3.00,87.54
